optimum_lambda,optimum_n_hidden,test_accuracy,training_accuracy
0.30000000000000004,70,92.941176470588232,92.982456140350877
0.8999999999999999,60,94.117647058823522,92.982456140350877
0.5,40,91.764705882352942,93.483709273182953
0.2,50,97.647058823529406,92.481203007518801
0.1,20,90.588235294117652,94.486215538847119
0.0,10,92.941176470588232,92.982456140350877
0.2,30,96.470588235294116,91.979949874686724
0.0,10,91.764705882352942,94.235588972431074
0.9999999999999999,30,92.941176470588232,92.481203007518801
0.6,40,95.294117647058812,91.478696741854634
